Week_Index,Week_Start,Week_End,Routes,Avg_SOC,Max_SOC [-],Min_SOC [-],Avg_DOD [-],Avg_Batt_Temp,Avg_Amb_Temp [degC],weeklyAvgBattP,weeklyDistance [km],weeklyTotDistance [km],weeklyDRegEn [kWh],weeklyDNetEn [kWh],weeklyEnAux [kWh],weeklyTotRegEn [kWh],weeklyTotNetEn [kWh],weeklyTotAux [kWh],weeklyAvgCrateChg [1/h],weeklyCycles [-],weeklyTotCycles [-],weeklyDrivingTime [h],weeklyChargingTime [h],weeklyparkingTime [h],Avg_Qcyc,Avg_Qcal,Avg_Qloss
1,01-Jan-2020,07-Jan-2020,route2,0.630292039735261,0.920005952625092,0.283578448834624,0.598567821755351,22.2591157656576,6.02771215943837,-62.1819578886039,1816.99389293772,1816.99389293772,1315.9782801876681,3279.2487967513516,453.822318888896,1315.9782801876681,3279.2487967513516,11.3455579722224,0.251933283533098,7.0,7,94.3180555555556,16.75,56.9319444444444,0.488032260701919,0.118932179588604,0.606964440290523
2,08-Jan-2020,14-Jan-2020,route2,0.632211274686379,0.920006326810436,0.253132786744384,0.603604392472672,22.1931726245271,1.72328295240847,-65.724899041345,1558.18810630618,3375.1819992439,1421.2655995349123,3786.82391583988,974.612898715588,2737.2438797225805,7066.07271259124,35.710880440112,0.252016673628571,7.0,14,81.3947222222222,16.6527777777778,69.9525,1.00753921057761,0.323962646264593,1.3315018568422
3,15-Jan-2020,21-Jan-2020,route2,0.615594288778235,0.920006576276233,0.201627658161354,0.642541974601159,22.0882779047349,-4.21548952799206,-68.3380455204572,1462.00482231123,4837.18682155513,1287.3797479269201,4229.93423689244,1196.4774,4024.62362764952,11296.00694948364,65.622815440112,0.253287669679997,7.0,21,77.9311111111111,17.5611111111111,72.5077777777778,1.35532105234625,0.46247171950053,1.81779277184678
4,22-Jan-2020,28-Jan-2020,route2,0.613652033002978,0.920005617431937,0.194419947493894,0.654775766759688,22.0079147308766,-9.16590785513096,-74.9024191438419,1171.48992196797,6008.6767435231,1304.7587701173002,3982.108536159172,1233.99367907968,5329.3823977668,15278.115485642842,96.472657417104,0.253740717220789,7.0,28,59.4361111111111,17.8111111111111,90.7527777777778,1.65240614212189,0.592117331487568,2.24452347360945
5,29-Jan-2020,04-Feb-2020,"route2,route1",0.625335872584713,0.920006242089391,0.254511246175067,0.623390259687897,22.1335983417719,-2.07266456883089,-69.5609498349971,1471.53673848424,7480.21348200734,1176.146797904192,3295.835209972768,544.759369501028,6505.529195671001,18573.9506956156,110.09164165463,0.252658026388494,7.0,35,70.8988888888889,16.95,80.1511111111111,1.9071453484336,0.702520073553039,2.60966542198664
6,05-Feb-2020,11-Feb-2020,route1,0.628863867135658,0.920006724201884,0.268306826715777,0.617658931652369,22.1890380889828,0.505964989578754,-69.968872749019,1515.50124194255,8995.71472394989,1039.2289249325402,2813.185424266332,713.1455981409281,7544.758120603521,21387.13611988192,127.920281608153,0.252403406925054,7.0,42,68.4730555555556,16.7111111111111,82.8158333333333,2.15235367224583,0.811237388935784,2.96359106118162
7,12-Feb-2020,18-Feb-2020,route1,0.624990240839574,0.920005822151835,0.244104167526487,0.616155215611584,22.1708833992637,1.39074509765282,-64.3247483265948,1764.19515134002,10759.9098752899,1235.6512779839481,3012.7857195945685,429.883462118844,8780.409398587479,24399.92183947648,138.667368161124,0.252381209444049,7.0,49,86.0308333333333,16.625,65.3441666666667,2.36686371634944,0.888157103472982,3.25502081982242
8,19-Feb-2020,25-Feb-2020,route1,0.624203966388618,0.920006158250172,0.267021981068209,0.623268171267601,22.2329799460895,3.47077288582622,-65.8466811743995,984.483091240529,11744.3929665304,1054.878489897344,2441.139104423948,382.90008450051926,9835.287888484801,26841.06094390044,148.239870273637,0.252478874078027,4.0,53,45.3558333333333,9.56666666666667,113.0775,2.53890523278113,0.950452777208329,3.48935800998946
9,26-Feb-2020,03-Mar-2020,route1,0.634951267893333,0.920002626671969,0.291166748726224,0.601625157567311,22.2767211818279,7.44374492708065,-62.5952982796085,1089.65311010248,12834.0460766329,1189.733748456928,2967.974340261828,319.93401046044636,11025.021636941761,29809.03528416228,156.238220535148,0.251859478942781,4.0,57,51.1408333333333,9.26666666666667,107.5925,2.65606417954725,0.988092877500181,3.64415705704743
10,04-Mar-2020,10-Mar-2020,"route1,route46",0.635037177327275,0.920006518830478,0.298996814151724,0.59352039528114,22.4329285474912,13.2916429326658,-67.0785389217148,1990.01127872906,14824.057355362,274.61260718077637,1035.5304014556602,106.3550992486112,11299.634244122519,30844.565685617927,158.897098016363,0.251490923300289,7.0,64,77.7511111111111,15.9694444444444,74.2794444444445,2.82830584099678,1.04775051013163,3.87605635112841
