Week_Index,Week_Start,Week_End,Routes,Avg_SOC,Max_SOC [-],Min_SOC [-],Avg_DOD [-],Avg_Batt_Temp,Avg_Amb_Temp [degC],weeklyAvgBattP,weeklyDistance [km],weeklyTotDistance [km],weeklyDRegEn [kWh],weeklyDNetEn [kWh],weeklyEnAux [kWh],weeklyTotRegEn [kWh],weeklyTotNetEn [kWh],weeklyTotAux [kWh],weeklyAvgCrateChg [1/h],weeklyCycles [-],weeklyTotCycles [-],weeklyDrivingTime [h],weeklyChargingTime [h],weeklyparkingTime [h],Avg_Qcyc,Avg_Qcal,Avg_Qloss
1,01-Dec-2020,07-Dec-2020,route31,0.639115390667138,0.920006427850967,0.310844602801523,0.588410469202262,22.1042729273566,-1.93389326501984,-66.686063934743,1642.46138221058,1642.46138221058,673.6068372276441,2080.441132864976,576.521102940328,673.6068372276441,2080.441132864976,14.4130275735082,0.251580289847148,7,7,77.7886111111111,16.3777777777778,73.8336111111111,0.445577113301149,0.159493877441902,0.605070990743051
2,08-Dec-2020,14-Dec-2020,route31,0.637135646214051,0.920005423365344,0.287065824011008,0.600182322792221,22.1708543585558,-0.388801607520776,-69.9784607022023,1610.5690753646,3253.03045757519,894.0356786520439,2421.189545217312,483.52382077777605,1567.642515879688,4501.630678082281,26.5011230929527,0.251918733873498,7,14,68.7733333333333,16.5694444444444,82.6572222222222,0.918798255998563,0.362875327504906,1.28167358350347
3,15-Dec-2020,21-Dec-2020,route31,0.636590732503759,0.920005399918529,0.277479359619057,0.606447477707052,22.0718327358152,-4.29667213654125,-71.4794113145207,1468.54511858373,4721.57557615892,675.198702904384,2135.3310676286324,617.901433094908,2242.841218784072,6636.96174571092,41.9486589203254,0.252124847363645,7,21,65.0188888888889,16.6388888888889,86.3422222222222,1.26822378558332,0.515047212546207,1.78327099812953
4,22-Dec-2020,28-Dec-2020,route31,0.642347678402639,0.920005482048025,0.264195790219443,0.597227129621881,21.926082457012,-9.27572754574527,-72.0308310022526,1267.28905786369,5988.86463402261,682.4135431277,2631.44075454828,1017.9558635013881,2925.254761911772,9268.4025002592,67.3975555078601,0.251899250706664,7,28,61.3647222222222,16.325,90.3102777777778,1.53569963679329,0.639007230778331,2.17470686757162
5,29-Dec-2020,04-Jan-2021,"route31,route44",0.634498432168694,0.920006558982117,0.256951090378405,0.619639391933235,22.043591286923,-6.6109353219679,-80.4461337231408,1358.1925332323,7347.05716725491,148.199306663156,1203.044577999076,224.6979393170268,3073.4540685749284,10471.44707825828,73.0150039907858,0.252557433477689,7,35,46.5483333333333,16.8388888888889,104.612777777778,1.76975491868572,0.756153069264614,2.52590798795034
6,05-Jan-2021,11-Jan-2021,route44,0.65128070480039,0.920006625448461,0.296582631581349,0.589557524780891,22.1503025725351,-1.02106906911537,-80.3924597529516,1506.86573298692,8853.92290024183,152.6662050621268,1080.009173305956,167.2035805027776,3226.120273637056,11551.456251564241,77.1950935033552,0.251577275259184,7,42,44.5741666666667,16.0194444444444,107.406388888889,1.94287122156315,0.865150947643865,2.80802216920701
7,12-Jan-2021,18-Jan-2021,route44,0.649571471650668,0.920006632282857,0.303261072838092,0.589537141877696,22.2428323005593,2.22669554967337,-80.0520645984606,1598.50463641715,10452.427536659,192.437211973696,1201.52132398222,134.3811646791668,3418.557485610752,12752.977575546442,80.5546226203344,0.251567510893879,7,49,47.8383333333333,16.0111111111111,104.150555555556,2.11765772219574,0.974821344069233,3.09247906626497
8,19-Jan-2021,25-Jan-2021,route44,0.653889014621469,0.920006653867542,0.293032462714294,0.586325337100724,22.082565279634,-3.06754215014932,-81.8734089859931,1396.73042985772,11849.1579665167,167.3815221463832,1257.238877898892,218.1773957942388,3585.9390077571366,14010.21645344536,86.0090575151903,0.25150691448387,7,56,41.6016666666667,15.8444444444444,110.553888888889,2.28042063556298,1.07400712154876,3.35442775711173
9,26-Jan-2021,01-Feb-2021,"route44,route41",0.651226202211196,0.920006190307608,0.293000587284689,0.592012437432371,22.1770329953031,0.528078349726729,-81.436723562293,1534.70040058067,13383.8583670974,382.4138695059096,1882.336142830028,242.66651425,3968.352877263044,15892.55259627536,92.0757203714403,0.251626431822663,7,63,41.35,15.9527777777778,110.697222222222,2.43230165442722,1.16856159025208,3.6008632446793
10,02-Feb-2021,08-Feb-2021,route41,0.640491425917889,0.920006775370454,0.277870775531879,0.611231602964861,22.2120111260798,0.754246821010175,-80.1861414898549,1674.78977300873,15058.6481401061,408.13374220410805,1874.9443779206479,137.2757723671296,4376.48661946716,17767.496974196,95.5076146806186,0.2521929901035,7,70,43.8797222222222,16.4083333333333,107.711944444444,2.59267380180994,1.26119018737878,3.85386398918872
