Week_Index,Week_Start,Week_End,Routes,Avg_SOC,Max_SOC [-],Min_SOC [-],Avg_DOD [-],Avg_Batt_Temp,Avg_Amb_Temp [degC],weeklyAvgBattP,weeklyDistance [km],weeklyTotDistance [km],weeklyDRegEn [kWh],weeklyDNetEn [kWh],weeklyEnAux [kWh],weeklyTotRegEn [kWh],weeklyTotNetEn [kWh],weeklyTotAux [kWh],weeklyAvgCrateChg [1/h],weeklyCycles [-],weeklyTotCycles [-],weeklyDrivingTime [h],weeklyChargingTime [h],weeklyparkingTime [h],Avg_Qcyc,Avg_Qcal,Avg_Qloss
1,01-Oct-2020,07-Oct-2020,route71,0.642979599848236,0.920006532772276,0.314728887391957,0.587716974662983,22.5716872833388,18.1048144182036,-70.1171111921464,2139.6412986371,2139.6412986371,464.401710690808,1587.4051907704522,154.8961175463024,464.401710690808,1587.4051907704522,3.87240293865756,0.251269713741191,7,7,70.9163888888888,16.3666666666667,80.7169444444445,0.426323928008399,0.176011639617307,0.602335567625706
2,08-Oct-2020,14-Oct-2020,route71,0.647211761482274,0.920004693929674,0.316066937468075,0.580479453001029,22.4962774952816,13.2904345752203,-73.3180311285716,1840.84145479042,3980.48275342753,389.7509999009028,1367.3500171759206,49.42792500000001,854.152710591712,2954.755207946372,5.10810106365756,0.251093734861544,7,14,59.9738888888888,16.0583333333333,91.9677777777778,0.890378024458883,0.425869120484783,1.31624714494367
3,15-Oct-2020,21-Oct-2020,route71,0.641066684965782,0.920006223356272,0.302989271211178,0.589263639557576,22.5355962424063,16.4505033782925,-69.3361286520089,2093.63582236799,6074.11857579552,294.1228372421872,1038.651357302796,55.971577777777604,1148.2755478339002,3993.4065652491645,6.507390508102,0.251307474917726,7,21,72.4438888888889,16.1861111111111,79.37,1.20663190091115,0.589457599875013,1.79608950078616
4,22-Oct-2020,28-Oct-2020,route71,0.641921961799211,0.9200044009002,0.298162664705432,0.594772509238437,22.6264860740246,19.3742334983804,-72.8378607404859,2000.1930376573,8074.31161345282,524.3584983568879,1435.86981535572,83.4032172785776,1672.6340461907887,5429.276380604881,8.59247094006644,0.251425966977728,7,28,64.5861111111111,16.2583333333333,87.1555555555556,1.48377862938149,0.725726575034113,2.20950520441561
5,29-Oct-2020,04-Nov-2020,"route71,route41",0.637404115003614,0.92000599355812,0.292283469506094,0.607130151487361,22.5341324107571,13.0619474269041,-77.0753301811204,1880.0612893501,9954.37290280292,341.6559000561008,1714.4054460402122,117.72468278822922,2014.2899462468883,7143.681826645081,11.5355880097722,0.251891655166635,7,35,52.4125,16.525,99.0625,1.71513330898326,0.845621414942809,2.56075472392607
6,05-Nov-2020,11-Nov-2020,route41,0.644477807841527,0.920003892243187,0.287833893849432,0.598679643084781,22.4891247794772,11.97741878731,-78.4916427408603,1879.40378900494,11833.7766918079,258.7673824008852,1431.4372545916563,154.32866623366,2273.057328647772,8575.11908123676,15.3938046656137,0.251689874014345,7,42,47.3041666666667,16.2638888888889,104.431944444444,1.92565734278396,0.974998329950093,2.90065567273406
7,12-Nov-2020,18-Nov-2020,route41,0.646138445116496,0.92000587821996,0.262295464062312,0.598309680205291,22.2611474024636,3.44983024069353,-80.0072284555949,1705.6601597823,13539.4368515902,231.97093170187478,1688.1805382171399,303.73311659086283,2505.028260349648,10263.299619453881,22.9871325803852,0.25180196785169,7,49,43.9636111111111,16.1916666666667,107.844722222222,2.10896167016021,1.08745909686318,3.1964207670234
8,19-Nov-2020,25-Nov-2020,route41,0.645678898188026,0.920005647141381,0.274208152282086,0.60109182912791,22.1623263955769,-0.355822650560893,-80.6268362626216,1583.86234583808,15123.2991974282,246.4682371218032,1490.3752153566081,165.7638429542308,2751.496497471452,11753.674834810521,27.131228654241,0.251948545584079,7,56,42.1552777777778,16.2027777777778,109.641944444444,2.2780632244433,1.18879882698084,3.46686205142414
9,26-Nov-2020,02-Dec-2020,"route41,route75",0.646180624494856,0.920006171157262,0.309628093024378,0.587398425467582,22.2307672646115,2.56262545483794,-74.0464897650698,1615.07944564985,16738.3786430781,375.7071004803256,1157.3757853141121,318.27537694212964,3127.2035979517764,12911.0506201246,35.0881130777943,0.25150514869589,7,63,58.8861111111111,15.8638888888889,93.25,2.45427490566108,1.29045153138227,3.74472643704335
10,03-Dec-2020,09-Dec-2020,route75,0.645273456420789,0.920006225062129,0.303024033787552,0.582334845229337,22.1278961157102,-2.15111967105781,-70.4506247641762,1316.72894047136,18055.1075835494,535.791689894944,1384.26467702792,263.0637347631172,3662.99528784672,14295.315297152521,41.6647064468722,0.251418001055239,7,70,67.0638888888889,15.6861111111111,85.25,2.62502034115232,1.35571094347696,3.98073128462928
11,10-Dec-2020,16-Dec-2020,route75,0.641561080123642,0.9200068354,0.302019362044428,0.583520661757156,22.1919149104787,1.31037396297306,-65.0475460313884,1555.39568001335,19610.5032635628,404.309702756404,980.696323445416,146.3252758253968,4067.30499060312,15276.011620597961,45.3228383425071,0.25140423767398,7,77,84.7286111111111,15.6777777777778,67.5936111111111,2.80826897470409,1.4222000088671,4.23046898357119
12,17-Dec-2020,23-Dec-2020,route75,0.639096156377462,0.92000310892541,0.285454125051142,0.6024358543969,21.9825356155743,-8.81453859498831,-72.1265064656187,1163.82089515463,20774.3241587174,429.48230838397603,1524.6436380272721,578.15062908426,4496.78729898712,16800.65525862524,59.7766040696136,0.252058044701684,7,84,63.0963888888889,16.1083333333333,88.7952777777778,2.9734138128315,1.48063216624375,4.45404597907525
13,24-Dec-2020,30-Dec-2020,"route75,route23",0.642504305332343,0.920006800554267,0.291684401494248,0.596959026531314,21.9933870863739,-8.00114086659496,-73.3625584613956,1162.0401343299,21936.3642930473,672.650926828744,2215.5894105579277,660.675933333368,5169.43822581584,19016.24466918316,76.2935024029478,0.251910327712803,7,91,59.1152777777778,15.9444444444444,92.9402777777778,3.12296216366915,1.54389069061486,4.666852854284
14,31-Dec-2020,06-Jan-2021,route23,0.641191872923638,0.92000679924263,0.287140454328985,0.597568761966859,22.0823044941484,-3.54705925805074,-72.5395382090044,1365.50611559466,23301.870408642,644.1473290349,1717.3265850262642,273.0098527999996,5813.58555485076,20733.5712542094,83.1187487229477,0.251848227886053,7,98,59.4116666666666,15.8861111111111,92.7022222222222,3.27637808746147,1.61162373780868,4.88800182527015
15,07-Jan-2021,13-Jan-2021,"route23,route71",0.642683783450269,0.920005862348872,0.309072797204161,0.591449530774138,22.1542472462923,-0.190382893811557,-72.335982320598,1440.90819362726,24742.7786022692,471.2747329587041,1825.9898238532323,308.4076839876544,6284.860287809441,22559.56107806264,90.8289408226391,0.25162370395276,7,105,61.0844444444444,15.7166666666667,91.1988888888889,3.42496192832704,1.67528203777115,5.10024396609819
16,14-Jan-2021,20-Jan-2021,route71,0.642829761981039,0.920005886486562,0.288991198115258,0.598441821938265,22.178904968892,0.782072781474335,-74.8240643918682,1657.06315351869,26399.8417557879,363.99380156203523,1684.601408106928,339.7412859358024,6648.854089371481,24244.162486169564,99.3224729710342,0.251835570787506,7,112,56.1297222222222,15.8527777777778,96.0175,3.55913700422971,1.73693929804363,5.29607630227334
17,21-Jan-2021,27-Jan-2021,route71,0.642488971818044,0.920006326696732,0.28273799056644,0.60108693841271,22.1048092465366,-2.44919876301278,-77.2215541009913,1447.97678231194,27847.8185380999,307.3120387962888,1465.968432354012,307.90653631944446,6956.166128167759,25710.130918523602,107.02013637902,0.251975149643943,7,119,49.1411111111111,15.8916666666667,102.967222222222,3.6909583123132,1.80598937447806,5.49694768679126
18,28-Jan-2021,03-Feb-2021,route71,0.652655960858968,0.920006862556647,0.311321422682487,0.583854731623632,22.1274800203524,-0.271957971298662,-77.9189757809698,1447.85847857671,29295.6770166766,353.44136044672723,1939.830848266076,395.7682111111044,7309.607488614521,27649.961766789682,116.914341656798,0.251415954324509,7,126,47.3316666666667,15.4333333333333,105.235,3.81152482567242,1.86960871783671,5.68113354350914
19,04-Feb-2021,10-Feb-2021,route71,0.648010304674237,0.920003949584234,0.291298192744761,0.589365855491349,22.2736385211907,5.25390106012952,-75.8061645171348,1609.43171796838,30905.1087346449,509.63814866263203,1788.2055028994362,312.5071654320988,7819.245637277119,29438.16726968908,124.7270207926,0.251503191814705,7,133,50.8608333333333,15.5444444444444,101.594722222222,3.93477162001041,1.93713380539005,5.87190542540046
20,11-Feb-2021,17-Feb-2021,"route71,route41",0.646003529927361,0.920006015743751,0.296562158495211,0.597548632114288,22.2106599095134,2.52998068204831,-78.5904659104703,1653.71829133787,32558.8270259828,296.5311200541964,1909.766190136428,332.61534093835326,8115.7767573313195,31347.933459825523,133.042404316059,0.251776526419859,7,140,46.1361111111111,15.7055555555556,106.158333333333,4.05085458427095,2.0008604938243,6.05171507809525
21,18-Feb-2021,24-Feb-2021,route41,0.638798150329132,0.920006242977155,0.26133200464489,0.617050329449403,22.2038524888962,0.910130330123395,-81.4650907934128,1586.2071033187,34145.0341293015,317.4957234599912,1701.211792162464,163.96345180555562,8433.27248079132,33049.145251988004,137.141490611198,0.252391537534259,7,147,40.4433333333333,16.1555555555556,111.401111111111,4.16270335502944,2.06664478825855,6.22934814328799
22,25-Feb-2021,03-Mar-2021,route41,0.639235989235898,0.920006883597373,0.26708587478373,0.612849060365432,22.2721818769839,4.1847362093101,-78.7898519933,1733.51493950484,35878.5490688064,424.128378887272,1854.6613402004282,195.61813222222722,8857.400859678599,34903.8065921884,142.031943916754,0.252211632932236,7,154,45.8616666666667,16.0083333333333,106.13,4.2706847513944,2.12928855599092,6.39997330738532
23,04-Mar-2021,10-Mar-2021,route41,0.651479287031641,0.920005550683635,0.313091100342864,0.589071003575883,22.1224535011575,0.0660371197894275,-79.5992360483383,1555.74100450487,37434.2900733112,327.817531301558,1784.2160098897284,212.352247201718,9185.21839098016,36688.022602078156,147.340750096797,0.25155303565603,7,161,41.6297222222222,15.4166666666667,110.953611111111,4.3763438805418,2.19130042066581,6.56764430120761
24,11-Mar-2021,17-Mar-2021,"route41,route75",0.63673121584733,0.920006985309567,0.282390559109143,0.599714653147239,22.2716681460468,6.19311246538395,-65.6679133668002,1834.18501359866,39268.4750869099,394.8681317151404,1101.185948073856,253.80643555556122,9580.08652269528,37789.208550152,153.685910985686,0.251788031668266,7,168,80.7388888888889,15.6333333333333,71.6277777777778,4.49426833432788,2.25354950364358,6.74781783797146
25,18-Mar-2021,24-Mar-2021,route75,0.640492078270251,0.920006259845783,0.310871745013074,0.584975125077837,22.3131410759634,7.58923407840512,-66.1869102042901,1583.8046174155,40852.2797043254,484.474408876296,1166.3751258942482,166.5743312208332,10064.560931571601,38955.58367604624,157.850269266207,0.251351104134326,7,175,78.4502777777778,15.2861111111111,74.2636111111111,4.61753551505262,2.28958012889397,6.90711564394659
26,25-Mar-2021,31-Mar-2021,route75,0.638942773030904,0.920005655786429,0.310950612930964,0.583936600304313,22.2241026289255,3.84904838243734,-64.9680869187882,1523.70779768876,42375.9875020142,571.4870923689081,1213.65597054152,119.5077899076644,10636.04802394048,40169.2396465876,160.837964013898,0.25133104645096,7,182,81.1341666666667,15.1916666666667,71.6741666666666,4.74612454696485,2.33162955367978,7.07775410064463
27,01-Apr-2021,07-Apr-2021,route75,0.635912190671087,0.9200070496315,0.314934862064697,0.587757135549669,22.3719218421559,13.9151565030846,-59.8203480903469,1884.58203140809,44260.5695334223,524.0583418358481,1162.473095330668,71.42459958847721,11160.10636577636,41331.7127419184,162.62357900361,0.251235191271217,7,189,101.480833333333,15.2111111111111,51.3080555555555,4.87740007132419,2.36843975448865,7.24583982581283
28,08-Apr-2021,14-Apr-2021,"route75,route71",0.646055036452642,0.920006496963632,0.29151244798879,0.580555125752118,22.5110429605196,19.6093265172861,-65.8381677965701,1898.9107925552,46159.4803259775,416.46374013350805,1343.833900763616,54.25711111111121,11576.570105909843,42675.546642682006,163.980006781388,0.251102888655943,7,196,79.8447222222222,15.1194444444444,73.0358333333333,4.99876304248612,2.39603964662008,7.3948026891062
29,15-Apr-2021,21-Apr-2021,route71,0.64242920974664,0.92000685278598,0.299676058848408,0.596879922233123,22.3807517970971,10.3982685306385,-72.5390922763289,1794.59861303364,47954.0789390111,427.87749725589606,1153.093453459028,74.35220000000001,12004.447603165761,43828.6400961412,165.838811781388,0.251632514368026,7,203,60.5783333333333,15.4388888888889,91.9827777777778,5.11708263081925,2.45178768687627,7.56887031769552
30,22-Apr-2021,28-Apr-2021,route71,0.642058123890677,0.920005008862244,0.311329210397343,0.595266113371011,22.5349411873851,16.8841493645956,-72.523284240012,1838.77584631206,49792.8547853232,455.3443545400321,1456.559020261484,79.0576430444444,12459.7919577058,45285.1991164024,167.815252857499,0.251479172376166,7,210,61.9688888888888,15.3916666666667,90.6394444444445,5.2193775339224,2.50179941616972,7.72117695009212
31,29-Apr-2021,05-May-2021,route71,0.643752900309004,0.920005075764053,0.309011485966721,0.589534723735155,22.6186805211956,22.4423116877018,-69.9779275388016,1978.40744700341,51771.2622323266,328.21234451696444,1279.8155076379921,47.528800000000004,12788.00430222276,46565.0146240404,169.003472857499,0.251211398130388,7,217,68.2286111111111,15.225,84.546388888889,5.3237357791317,2.55247111031738,7.87620688944908
32,06-May-2021,12-May-2021,"route71,route41",0.645647987320327,0.920006633723591,0.299888210680248,0.590623410732252,22.5938283628905,20.1997389333105,-72.7222287680867,1921.22972971909,53692.4919620457,323.19726347412166,1593.392784965456,46.8184444444444,13111.201565696882,48158.407409006,170.17393396861,0.251281398650232,7,224,59.0755555555555,15.2,93.7244444444445,5.42553519894518,2.60450939390457,8.03004459284974
33,13-May-2021,19-May-2021,route41,0.645466410694114,0.920007108478452,0.289427637103866,0.59548002357276,22.5483267188117,17.3217655378746,-74.5960967206313,1997.07261267567,55689.5645747213,362.4110702286452,1544.103312931828,54.7405555555556,13473.612635925521,49702.510721938,171.542447857499,0.251511204171763,7,231,53.2038888888889,15.2972222222222,99.4988888888889,5.52397969735529,2.66193182196881,8.1859115193241
