run,model,target,timestamp,cv_RMSE,cv_MAE,cv_R2,cv_MAPE,holdout_RMSE,holdout_MAE,holdout_R2,holdout_MAPE,temporal_RMSE,temporal_MAE,temporal_R2,temporal_MAPE
001_linear_regression_cumulative,linear_regression,cumulative,2026-04-23T02:38:42.457543,0.535018,0.426045,0.988213,5.181262,0.572894,0.497562,0.986404,5.163451,1.11611,1.056007,-1.485234,5.540404
002_linear_regression_delta,linear_regression,delta,2026-04-23T02:38:43.436835,0.014563,0.009151,0.947724,7.125963,0.010975,0.00799,0.970174,6.452889,0.015237,0.012683,-3.919849,15.787673
003_random_forest_cumulative,random_forest,cumulative,2026-04-23T02:38:48.178849,0.131274,0.106848,0.99929,0.962281,0.134329,0.110497,0.999252,1.170171,1.51068,1.337876,-3.553002,6.948973
004_random_forest_delta,random_forest,delta,2026-04-23T02:38:53.544828,0.012289,0.006445,0.962774,4.836707,0.008322,0.005726,0.982848,4.422317,0.008941,0.006852,-0.694082,8.887692
