Week_Index,Week_Start,Week_End,Routes,Avg_SOC,Max_SOC [-],Min_SOC [-],Avg_DOD [-],Avg_Batt_Temp,Avg_Amb_Temp [degC],weeklyAvgBattP,weeklyDistance [km],weeklyTotDistance [km],weeklyDRegEn [kWh],weeklyDNetEn [kWh],weeklyEnAux [kWh],weeklyTotRegEn [kWh],weeklyTotNetEn [kWh],weeklyTotAux [kWh],weeklyAvgCrateChg [1/h],weeklyCycles [-],weeklyTotCycles [-],weeklyDrivingTime [h],weeklyChargingTime [h],weeklyparkingTime [h],Avg_Qcyc,Avg_Qcal,Avg_Qloss
1,09-Jun-2020,15-Jun-2020,route45,0.638726118554613,0.920005630066159,0.288273283739924,0.612041799818724,22.8889152826096,26.9869984639354,-78.3369501078323,2320.38951127014,2320.38951127014,196.71895834629362,1492.010362004896,41.44451111111121,196.71895834629362,1492.010362004896,1.03611277777778,0.251811948010499,7,7,52.1102777777778,16.9861111111111,98.9036111111111,0.396896148958319,0.207980700188165,0.604876849146484
2,16-Jun-2020,22-Jun-2020,route45,0.645291212024624,0.920006441995649,0.295042642427696,0.594263663302403,22.7587856803476,23.7001422106846,-76.6735289857811,2322.97085741781,4643.36036868794,200.33558699104282,1285.1994059487843,63.9522933333324,397.0545453373365,2777.20976795368,2.63492011111108,0.251386520794556,7,14,53.8247222222222,16.4305555555556,97.7447222222223,0.835853725154838,0.50087762666226,1.3367313518171
3,23-Jun-2020,29-Jun-2020,route45,0.651098208885024,0.920003972720868,0.289969436525003,0.584425984286526,22.7705605630591,24.1561961828409,-77.3751145392462,2229.66915799697,6873.02952668491,371.66375103163523,1714.706266531672,55.3231333333332,768.718296368972,4491.91603448536,4.01799844444442,0.251079702097697,7,21,50.9497222222222,16.0944444444444,100.955833333333,1.13025275161962,0.684112795534311,1.81436554715393
4,30-Jun-2020,06-Jul-2020,route45,0.650476120415305,0.920006579083855,0.312696858400069,0.584767893983725,22.7464366697479,23.2597312713142,-76.6286736426687,2232.64835835282,9105.67788503773,313.26090419635443,1358.5457577386403,68.2233339506172,1081.979200565328,5850.461792224,5.72358179320985,0.251086065213461,7,28,50.7730555555555,16.0333333333333,101.193611111111,1.37613091423963,0.839681855636502,2.21581276987613
5,07-Jul-2020,13-Jul-2020,"route45,route71",0.644979116467819,0.92000558048817,0.302499901388149,0.589287080866045,22.7505473600386,25.3795975397213,-73.0674353194547,2124.03614343417,11229.7140284719,512.199012984724,1482.104278723036,85.725429436214,1594.178213550052,7332.566070947039,7.8667175291152,0.251161157979429,7,35,62.4408333333333,16.0833333333333,89.4758333333334,1.61124607086615,0.979802255726285,2.59104832659243
6,14-Jul-2020,20-Jul-2020,route71,0.642877552041148,0.920005773410146,0.311556645418685,0.593786708094046,22.6879309656484,23.227222518423,-71.5145636000517,2069.85107084048,13299.5650993124,444.137123625756,1429.6867744065241,56.93061313131321,2038.3153371758083,8762.252845353561,9.28998285739803,0.251360852677786,7,42,67.0533333333333,16.1611111111111,84.7855555555556,1.83997107989588,1.08549522600806,2.92546630590394
7,21-Jul-2020,27-Jul-2020,route71,0.643803942713603,0.920006460717312,0.315566228138544,0.584588565589613,22.6387246711538,23.8587914646326,-67.2206446971997,2254.14631055317,15553.7114098656,492.39111873554407,1478.575144818056,88.97895020987642,2530.706455911352,10240.8279901716,11.5144566126449,0.251072320127816,7,49,78.3127777777778,15.875,73.8122222222222,2.04858864401405,1.17144595938771,3.22003460340176
8,28-Jul-2020,03-Aug-2020,route71,0.642855696072853,0.920006128702005,0.301898517415647,0.588049425076367,22.6553918825335,24.5656694401769,-68.073971673089,2208.52300274527,17762.2344126108,543.484069406144,1575.8496151643083,72.05785775802683,3074.1905253174964,11816.67760533592,13.3159030565956,0.251190562316074,7,56,75.5244444444445,15.925,76.5505555555555,2.25452131607617,1.26363990686555,3.51816122294172
9,04-Aug-2020,10-Aug-2020,"route71,route75",0.654014945298024,0.920003765715646,0.308084940630285,0.561003095571808,22.5483491918746,23.4718522192404,-62.5112675939816,2122.83029025748,19885.0647028683,514.98711547472,1043.0633082999,60.0337680450616,3589.177640792216,12859.740913635804,14.8167472577222,0.250483096711576,7,63,91.0277777777779,15.1944444444444,61.7777777777777,2.4519556062324,1.3434125319006,3.79536813813301
10,11-Aug-2020,17-Aug-2020,route75,0.649278102351154,0.920005917074556,0.349909622246471,0.562685012114204,22.5465251941908,25.0249338243895,-58.8451198209493,298.219321354398,20183.2840242227,489.46870438526,1025.0758829831282,66.6620118333792,4078.64634517748,13884.81679661896,16.4832975535566,0.250483584633052,1,64,15.3019444444444,2.18333333333333,150.514722222222,2.56014945729535,1.37078889931364,3.93093835660899
11,18-Aug-2020,24-Aug-2020,route75,0.643796463279005,0.920004067495034,0.331639107016081,0.581995557808796,22.6128440795391,24.6428116669763,-64.5652369463045,266.954521768699,20450.2385459914,536.423236838252,1148.186501176956,53.5904779835392,4615.06958201572,15033.00329779592,17.8230595031451,0.251054255815014,1,65,12.8727777777778,2.24722222222222,152.88,2.59226200486588,1.37752084242395,3.96978284728982
